date,city,country,location,aqi,pm25,aqi_method,source_dataset,raw_row_count
2015-05-01,Delhi,India,"Delhi, India",221.0,,provided,India AQI Bulletins,1
2015-05-02,Bengaluru,India,"Bengaluru, India",132.0,,provided,India AQI Bulletins,1
2015-05-02,Delhi,India,"Delhi, India",238.0,,provided,India AQI Bulletins,1
2015-05-03,Bengaluru,India,"Bengaluru, India",49.0,,provided,India AQI Bulletins,1
2015-05-03,Delhi,India,"Delhi, India",259.0,,provided,India AQI Bulletins,1
2015-05-04,Bengaluru,India,"Bengaluru, India",46.0,,provided,India AQI Bulletins,1
2015-05-04,Delhi,India,"Delhi, India",289.0,,provided,India AQI Bulletins,1
2015-05-05,Bengaluru,India,"Bengaluru, India",229.0,,provided,India AQI Bulletins,1
2015-05-05,Delhi,India,"Delhi, India",311.0,,provided,India AQI Bulletins,1
2015-05-06,Bengaluru,India,"Bengaluru, India",90.0,,provided,India AQI Bulletins,1
2015-05-06,Delhi,India,"Delhi, India",305.0,,provided,India AQI Bulletins,1
2015-05-07,Bengaluru,India,"Bengaluru, India",52.0,,provided,India AQI Bulletins,1
2015-05-07,Delhi,India,"Delhi, India",254.0,,provided,India AQI Bulletins,1
2015-05-08,Bengaluru,India,"Bengaluru, India",83.0,,provided,India AQI Bulletins,1
2015-05-08,Delhi,India,"Delhi, India",229.0,,provided,India AQI Bulletins,1
2015-05-09,Bengaluru,India,"Bengaluru, India",46.0,,provided,India AQI Bulletins,1
2015-05-09,Delhi,India,"Delhi, India",234.0,,provided,India AQI Bulletins,1
2015-05-10,Bengaluru,India,"Bengaluru, India",266.0,,provided,India AQI Bulletins,1
2015-05-10,Delhi,India,"Delhi, India",290.0,,provided,India AQI Bulletins,1
2015-05-11,Bengaluru,India,"Bengaluru, India",98.0,,provided,India AQI Bulletins,1
2015-05-11,Delhi,India,"Delhi, India",262.0,,provided,India AQI Bulletins,1
2015-05-12,Bengaluru,India,"Bengaluru, India",71.0,,provided,India AQI Bulletins,1
2015-05-12,Delhi,India,"Delhi, India",228.0,,provided,India AQI Bulletins,1
2015-05-13,Bengaluru,India,"Bengaluru, India",42.0,,provided,India AQI Bulletins,1
2015-05-13,Delhi,India,"Delhi, India",183.0,,provided,India AQI Bulletins,1
2015-05-15,Bengaluru,India,"Bengaluru, India",45.0,,provided,India AQI Bulletins,1
2015-05-15,Delhi,India,"Delhi, India",208.0,,provided,India AQI Bulletins,1
2015-05-16,Bengaluru,India,"Bengaluru, India",72.0,,provided,India AQI Bulletins,1
2015-05-16,Delhi,India,"Delhi, India",288.0,,provided,India AQI Bulletins,1
2015-05-17,Bengaluru,India,"Bengaluru, India",50.0,,provided,India AQI Bulletins,1
2015-05-17,Delhi,India,"Delhi, India",261.0,,provided,India AQI Bulletins,1
2015-05-18,Bengaluru,India,"Bengaluru, India",59.0,,provided,India AQI Bulletins,1
2015-05-18,Delhi,India,"Delhi, India",269.0,,provided,India AQI Bulletins,1
2015-05-19,Bengaluru,India,"Bengaluru, India",53.0,,provided,India AQI Bulletins,1
2015-05-19,Delhi,India,"Delhi, India",227.0,,provided,India AQI Bulletins,1
2015-05-20,Bengaluru,India,"Bengaluru, India",58.0,,provided,India AQI Bulletins,1
2015-05-20,Delhi,India,"Delhi, India",212.0,,provided,India AQI Bulletins,1
2015-05-21,Bengaluru,India,"Bengaluru, India",48.0,,provided,India AQI Bulletins,1
2015-05-21,Delhi,India,"Delhi, India",147.0,,provided,India AQI Bulletins,1
2015-05-22,Bengaluru,India,"Bengaluru, India",75.0,,provided,India AQI Bulletins,1
2015-05-22,Delhi,India,"Delhi, India",192.0,,provided,India AQI Bulletins,1
2015-05-23,Bengaluru,India,"Bengaluru, India",49.0,,provided,India AQI Bulletins,1
2015-05-23,Delhi,India,"Delhi, India",188.0,,provided,India AQI Bulletins,1
2015-05-24,Bengaluru,India,"Bengaluru, India",92.0,,provided,India AQI Bulletins,1
2015-05-24,Delhi,India,"Delhi, India",193.0,,provided,India AQI Bulletins,1
2015-05-25,Bengaluru,India,"Bengaluru, India",57.0,,provided,India AQI Bulletins,1
2015-05-25,Delhi,India,"Delhi, India",214.0,,provided,India AQI Bulletins,1
2015-05-26,Bengaluru,India,"Bengaluru, India",54.0,,provided,India AQI Bulletins,1
2015-05-26,Delhi,India,"Delhi, India",305.0,,provided,India AQI Bulletins,1
2015-05-27,Bengaluru,India,"Bengaluru, India",51.0,,provided,India AQI Bulletins,1
2015-05-27,Delhi,India,"Delhi, India",323.0,,provided,India AQI Bulletins,1
2015-05-28,Bengaluru,India,"Bengaluru, India",56.0,,provided,India AQI Bulletins,1
2015-05-28,Delhi,India,"Delhi, India",335.0,,provided,India AQI Bulletins,1
2015-05-29,Bengaluru,India,"Bengaluru, India",180.0,,provided,India AQI Bulletins,1
2015-05-29,Delhi,India,"Delhi, India",314.0,,provided,India AQI Bulletins,1
2015-05-30,Bengaluru,India,"Bengaluru, India",59.0,,provided,India AQI Bulletins,1
2015-05-30,Delhi,India,"Delhi, India",217.0,,provided,India AQI Bulletins,1
2015-05-31,Bengaluru,India,"Bengaluru, India",99.0,,provided,India AQI Bulletins,1
2015-05-31,Delhi,India,"Delhi, India",74.0,,provided,India AQI Bulletins,1
2015-06-01,Bengaluru,India,"Bengaluru, India",67.0,,provided,India AQI Bulletins,1
2015-06-01,Delhi,India,"Delhi, India",200.0,,provided,India AQI Bulletins,1
2015-06-02,Bengaluru,India,"Bengaluru, India",56.0,,provided,India AQI Bulletins,1
2015-06-02,Delhi,India,"Delhi, India",253.0,,provided,India AQI Bulletins,1
2015-06-03,Bengaluru,India,"Bengaluru, India",67.0,,provided,India AQI Bulletins,1
2015-06-03,Delhi,India,"Delhi, India",152.0,,provided,India AQI Bulletins,1
2015-06-04,Bengaluru,India,"Bengaluru, India",46.0,,provided,India AQI Bulletins,1
2015-06-04,Delhi,India,"Delhi, India",195.0,,provided,India AQI Bulletins,1
2015-06-05,Bengaluru,India,"Bengaluru, India",46.0,,provided,India AQI Bulletins,1
2015-06-06,Bengaluru,India,"Bengaluru, India",45.0,,provided,India AQI Bulletins,1
2015-06-06,Delhi,India,"Delhi, India",95.0,,provided,India AQI Bulletins,1
2015-06-07,Bengaluru,India,"Bengaluru, India",41.0,,provided,India AQI Bulletins,1
2015-06-07,Delhi,India,"Delhi, India",188.0,,provided,India AQI Bulletins,1
2015-06-08,Bengaluru,India,"Bengaluru, India",50.0,,provided,India AQI Bulletins,1
2015-06-08,Delhi,India,"Delhi, India",310.0,,provided,India AQI Bulletins,1
2015-06-09,Bengaluru,India,"Bengaluru, India",40.0,,provided,India AQI Bulletins,1
2015-06-10,Bengaluru,India,"Bengaluru, India",48.0,,provided,India AQI Bulletins,1
2015-06-10,Delhi,India,"Delhi, India",151.0,,provided,India AQI Bulletins,1
2015-06-11,Bengaluru,India,"Bengaluru, India",41.0,,provided,India AQI Bulletins,1
2015-06-11,Delhi,India,"Delhi, India",148.0,,provided,India AQI Bulletins,1
2015-06-13,Bengaluru,India,"Bengaluru, India",35.0,,provided,India AQI Bulletins,1
2015-06-13,Delhi,India,"Delhi, India",208.0,,provided,India AQI Bulletins,1
2015-06-14,Bengaluru,India,"Bengaluru, India",64.0,,provided,India AQI Bulletins,1
2015-06-14,Delhi,India,"Delhi, India",123.0,,provided,India AQI Bulletins,1
2015-06-15,Bengaluru,India,"Bengaluru, India",51.0,,provided,India AQI Bulletins,1
2015-06-15,Delhi,India,"Delhi, India",251.0,,provided,India AQI Bulletins,1
2015-06-16,Bengaluru,India,"Bengaluru, India",35.0,,provided,India AQI Bulletins,1
2015-06-16,Delhi,India,"Delhi, India",280.0,,provided,India AQI Bulletins,1
2015-06-17,Bengaluru,India,"Bengaluru, India",52.0,,provided,India AQI Bulletins,1
2015-06-17,Delhi,India,"Delhi, India",281.0,,provided,India AQI Bulletins,1
2015-06-18,Bengaluru,India,"Bengaluru, India",28.0,,provided,India AQI Bulletins,1
2015-06-18,Delhi,India,"Delhi, India",286.0,,provided,India AQI Bulletins,1
2015-06-19,Bengaluru,India,"Bengaluru, India",51.0,,provided,India AQI Bulletins,1
2015-06-19,Delhi,India,"Delhi, India",262.0,,provided,India AQI Bulletins,1
2015-06-20,Bengaluru,India,"Bengaluru, India",44.0,,provided,India AQI Bulletins,1
2015-06-20,Delhi,India,"Delhi, India",159.0,,provided,India AQI Bulletins,1
2015-06-21,Bengaluru,India,"Bengaluru, India",105.0,,provided,India AQI Bulletins,1
2015-06-21,Delhi,India,"Delhi, India",88.0,,provided,India AQI Bulletins,1
2015-06-22,Bengaluru,India,"Bengaluru, India",96.0,,provided,India AQI Bulletins,1
2015-06-22,Delhi,India,"Delhi, India",146.0,,provided,India AQI Bulletins,1
2015-06-23,Bengaluru,India,"Bengaluru, India",50.0,,provided,India AQI Bulletins,1
2015-06-23,Delhi,India,"Delhi, India",171.0,,provided,India AQI Bulletins,1
2015-06-24,Bengaluru,India,"Bengaluru, India",41.0,,provided,India AQI Bulletins,1
2015-06-24,Delhi,India,"Delhi, India",234.0,,provided,India AQI Bulletins,1
2015-06-25,Bengaluru,India,"Bengaluru, India",44.0,,provided,India AQI Bulletins,1
2015-06-25,Delhi,India,"Delhi, India",96.0,,provided,India AQI Bulletins,1
2015-06-26,Bengaluru,India,"Bengaluru, India",48.0,,provided,India AQI Bulletins,1
2015-06-26,Delhi,India,"Delhi, India",167.0,,provided,India AQI Bulletins,1
2015-06-27,Bengaluru,India,"Bengaluru, India",37.0,,provided,India AQI Bulletins,1
2015-06-27,Delhi,India,"Delhi, India",172.0,,provided,India AQI Bulletins,1
2015-06-28,Bengaluru,India,"Bengaluru, India",56.0,,provided,India AQI Bulletins,1
2015-06-28,Delhi,India,"Delhi, India",182.0,,provided,India AQI Bulletins,1
2015-07-01,Bengaluru,India,"Bengaluru, India",55.0,,provided,India AQI Bulletins,1
2015-07-01,Delhi,India,"Delhi, India",153.0,,provided,India AQI Bulletins,1
2015-07-02,Bengaluru,India,"Bengaluru, India",63.0,,provided,India AQI Bulletins,1
2015-07-02,Delhi,India,"Delhi, India",219.0,,provided,India AQI Bulletins,1
2015-07-03,Bengaluru,India,"Bengaluru, India",46.0,,provided,India AQI Bulletins,1
2015-07-03,Delhi,India,"Delhi, India",179.0,,provided,India AQI Bulletins,1
2015-07-04,Bengaluru,India,"Bengaluru, India",35.0,,provided,India AQI Bulletins,1
2015-07-04,Delhi,India,"Delhi, India",176.0,,provided,India AQI Bulletins,1
2015-07-05,Bengaluru,India,"Bengaluru, India",36.0,,provided,India AQI Bulletins,1
2015-07-05,Delhi,India,"Delhi, India",303.0,,provided,India AQI Bulletins,1
2015-07-06,Bengaluru,India,"Bengaluru, India",42.0,,provided,India AQI Bulletins,1
2015-07-06,Delhi,India,"Delhi, India",225.0,,provided,India AQI Bulletins,1
2015-07-07,Bengaluru,India,"Bengaluru, India",47.0,,provided,India AQI Bulletins,1
2015-07-07,Delhi,India,"Delhi, India",145.0,,provided,India AQI Bulletins,1
2015-07-08,Bengaluru,India,"Bengaluru, India",32.0,,provided,India AQI Bulletins,1
2015-07-08,Delhi,India,"Delhi, India",160.0,,provided,India AQI Bulletins,1
2015-07-09,Bengaluru,India,"Bengaluru, India",47.0,,provided,India AQI Bulletins,1
2015-07-09,Delhi,India,"Delhi, India",153.0,,provided,India AQI Bulletins,1
2015-07-10,Bengaluru,India,"Bengaluru, India",36.0,,provided,India AQI Bulletins,1
2015-07-10,Delhi,India,"Delhi, India",112.0,,provided,India AQI Bulletins,1
2015-07-11,Bengaluru,India,"Bengaluru, India",40.0,,provided,India AQI Bulletins,1
2015-07-11,Delhi,India,"Delhi, India",56.0,,provided,India AQI Bulletins,1
2015-07-12,Bengaluru,India,"Bengaluru, India",47.0,,provided,India AQI Bulletins,1
2015-07-12,Delhi,India,"Delhi, India",67.0,,provided,India AQI Bulletins,1
2015-07-13,Bengaluru,India,"Bengaluru, India",41.0,,provided,India AQI Bulletins,1
2015-07-13,Delhi,India,"Delhi, India",63.0,,provided,India AQI Bulletins,1
2015-07-14,Bengaluru,India,"Bengaluru, India",35.0,,provided,India AQI Bulletins,1
2015-07-14,Delhi,India,"Delhi, India",82.0,,provided,India AQI Bulletins,1
2015-07-15,Bengaluru,India,"Bengaluru, India",35.0,,provided,India AQI Bulletins,1
2015-07-15,Delhi,India,"Delhi, India",195.0,,provided,India AQI Bulletins,1
2015-07-16,Bengaluru,India,"Bengaluru, India",34.0,,provided,India AQI Bulletins,1
2015-07-16,Delhi,India,"Delhi, India",247.0,,provided,India AQI Bulletins,1
2015-07-17,Bengaluru,India,"Bengaluru, India",36.0,,provided,India AQI Bulletins,1
2015-07-17,Delhi,India,"Delhi, India",180.0,,provided,India AQI Bulletins,1
2015-07-18,Bengaluru,India,"Bengaluru, India",49.0,,provided,India AQI Bulletins,1
2015-07-18,Delhi,India,"Delhi, India",187.0,,provided,India AQI Bulletins,1
2015-07-19,Bengaluru,India,"Bengaluru, India",32.0,,provided,India AQI Bulletins,1
2015-07-19,Delhi,India,"Delhi, India",151.0,,provided,India AQI Bulletins,1
2015-07-20,Bengaluru,India,"Bengaluru, India",33.0,,provided,India AQI Bulletins,1
2015-07-20,Delhi,India,"Delhi, India",155.0,,provided,India AQI Bulletins,1
2015-07-21,Bengaluru,India,"Bengaluru, India",40.0,,provided,India AQI Bulletins,1
2015-07-21,Delhi,India,"Delhi, India",132.0,,provided,India AQI Bulletins,1
2015-07-22,Bengaluru,India,"Bengaluru, India",34.0,,provided,India AQI Bulletins,1
2015-07-22,Delhi,India,"Delhi, India",124.0,,provided,India AQI Bulletins,1
2015-07-23,Bengaluru,India,"Bengaluru, India",76.0,,provided,India AQI Bulletins,1
2015-07-23,Delhi,India,"Delhi, India",178.0,,provided,India AQI Bulletins,1
2015-07-24,Bengaluru,India,"Bengaluru, India",241.0,,provided,India AQI Bulletins,1
2015-07-24,Delhi,India,"Delhi, India",99.0,,provided,India AQI Bulletins,1
2015-07-25,Bengaluru,India,"Bengaluru, India",46.0,,provided,India AQI Bulletins,1
2015-07-25,Delhi,India,"Delhi, India",104.0,,provided,India AQI Bulletins,1
2015-07-26,Bengaluru,India,"Bengaluru, India",31.0,,provided,India AQI Bulletins,1
2015-07-26,Delhi,India,"Delhi, India",82.0,,provided,India AQI Bulletins,1
2015-07-27,Bengaluru,India,"Bengaluru, India",53.0,,provided,India AQI Bulletins,1
2015-07-27,Delhi,India,"Delhi, India",53.0,,provided,India AQI Bulletins,1
2015-07-28,Bengaluru,India,"Bengaluru, India",42.0,,provided,India AQI Bulletins,1
2015-07-28,Delhi,India,"Delhi, India",70.0,,provided,India AQI Bulletins,1
2015-07-29,Bengaluru,India,"Bengaluru, India",49.0,,provided,India AQI Bulletins,1
2015-07-29,Delhi,India,"Delhi, India",73.0,,provided,India AQI Bulletins,1
2015-07-30,Bengaluru,India,"Bengaluru, India",49.0,,provided,India AQI Bulletins,1
2015-07-30,Delhi,India,"Delhi, India",60.0,,provided,India AQI Bulletins,1
2015-07-31,Bengaluru,India,"Bengaluru, India",55.0,,provided,India AQI Bulletins,1
2015-07-31,Delhi,India,"Delhi, India",99.0,,provided,India AQI Bulletins,1
2015-08-01,Bengaluru,India,"Bengaluru, India",35.0,,provided,India AQI Bulletins,1
2015-08-01,Delhi,India,"Delhi, India",130.0,,provided,India AQI Bulletins,1
2015-08-02,Bengaluru,India,"Bengaluru, India",36.0,,provided,India AQI Bulletins,1
2015-08-02,Delhi,India,"Delhi, India",122.0,,provided,India AQI Bulletins,1
2015-08-03,Bengaluru,India,"Bengaluru, India",34.0,,provided,India AQI Bulletins,1
2015-08-03,Delhi,India,"Delhi, India",128.0,,provided,India AQI Bulletins,1
2015-08-04,Bengaluru,India,"Bengaluru, India",35.0,,provided,India AQI Bulletins,1
2015-08-04,Delhi,India,"Delhi, India",153.0,,provided,India AQI Bulletins,1
2015-08-05,Bengaluru,India,"Bengaluru, India",42.0,,provided,India AQI Bulletins,1
2015-08-05,Delhi,India,"Delhi, India",134.0,,provided,India AQI Bulletins,1
2015-08-06,Bengaluru,India,"Bengaluru, India",97.0,,provided,India AQI Bulletins,1
2015-08-06,Delhi,India,"Delhi, India",149.0,,provided,India AQI Bulletins,1
2015-08-07,Bengaluru,India,"Bengaluru, India",34.0,,provided,India AQI Bulletins,1
2015-08-07,Delhi,India,"Delhi, India",148.0,,provided,India AQI Bulletins,1
2015-08-08,Bengaluru,India,"Bengaluru, India",56.0,,provided,India AQI Bulletins,1
2015-08-08,Delhi,India,"Delhi, India",155.0,,provided,India AQI Bulletins,1
2015-08-09,Bengaluru,India,"Bengaluru, India",89.0,,provided,India AQI Bulletins,1
2015-08-09,Delhi,India,"Delhi, India",167.0,,provided,India AQI Bulletins,1
2015-08-10,Bengaluru,India,"Bengaluru, India",39.0,,provided,India AQI Bulletins,1
2015-08-10,Delhi,India,"Delhi, India",142.0,,provided,India AQI Bulletins,1
2015-08-11,Bengaluru,India,"Bengaluru, India",45.0,,provided,India AQI Bulletins,1
2015-08-11,Delhi,India,"Delhi, India",246.0,,provided,India AQI Bulletins,1
2015-08-12,Bengaluru,India,"Bengaluru, India",33.0,,provided,India AQI Bulletins,1
2015-08-12,Delhi,India,"Delhi, India",101.0,,provided,India AQI Bulletins,1
2015-08-13,Bengaluru,India,"Bengaluru, India",55.0,,provided,India AQI Bulletins,1
2015-08-13,Delhi,India,"Delhi, India",179.0,,provided,India AQI Bulletins,1
2015-08-14,Bengaluru,India,"Bengaluru, India",58.0,,provided,India AQI Bulletins,1
2015-08-14,Delhi,India,"Delhi, India",175.0,,provided,India AQI Bulletins,1
2015-08-15,Bengaluru,India,"Bengaluru, India",64.0,,provided,India AQI Bulletins,1
2015-08-15,Delhi,India,"Delhi, India",130.0,,provided,India AQI Bulletins,1
2015-08-16,Bengaluru,India,"Bengaluru, India",41.0,,provided,India AQI Bulletins,1
2015-08-16,Delhi,India,"Delhi, India",96.0,,provided,India AQI Bulletins,1
2015-08-17,Bengaluru,India,"Bengaluru, India",181.0,,provided,India AQI Bulletins,1
2015-08-17,Delhi,India,"Delhi, India",105.0,,provided,India AQI Bulletins,1
2015-08-18,Bengaluru,India,"Bengaluru, India",81.0,,provided,India AQI Bulletins,1
2015-08-18,Delhi,India,"Delhi, India",147.0,,provided,India AQI Bulletins,1
2015-08-19,Bengaluru,India,"Bengaluru, India",101.0,,provided,India AQI Bulletins,1
2015-08-19,Delhi,India,"Delhi, India",62.0,,provided,India AQI Bulletins,1
2015-08-20,Bengaluru,India,"Bengaluru, India",87.0,,provided,India AQI Bulletins,1
2015-08-20,Delhi,India,"Delhi, India",144.0,,provided,India AQI Bulletins,1
2015-08-20,Mumbai,India,"Mumbai, India",82.0,,provided,India AQI Bulletins,1
2015-08-21,Bengaluru,India,"Bengaluru, India",62.0,,provided,India AQI Bulletins,1
2015-08-21,Delhi,India,"Delhi, India",174.0,,provided,India AQI Bulletins,1
2015-08-21,Mumbai,India,"Mumbai, India",75.0,,provided,India AQI Bulletins,1
2015-08-22,Bengaluru,India,"Bengaluru, India",38.0,,provided,India AQI Bulletins,1
2015-08-22,Delhi,India,"Delhi, India",128.0,,provided,India AQI Bulletins,1
2015-08-22,Mumbai,India,"Mumbai, India",61.0,,provided,India AQI Bulletins,1
2015-08-23,Bengaluru,India,"Bengaluru, India",30.0,,provided,India AQI Bulletins,1
2015-08-23,Delhi,India,"Delhi, India",106.0,,provided,India AQI Bulletins,1
2015-08-24,Bengaluru,India,"Bengaluru, India",40.0,,provided,India AQI Bulletins,1
2015-08-24,Delhi,India,"Delhi, India",99.0,,provided,India AQI Bulletins,1
2015-08-24,Mumbai,India,"Mumbai, India",61.0,,provided,India AQI Bulletins,1
2015-08-25,Bengaluru,India,"Bengaluru, India",70.0,,provided,India AQI Bulletins,1
2015-08-25,Delhi,India,"Delhi, India",143.0,,provided,India AQI Bulletins,1
2015-08-25,Mumbai,India,"Mumbai, India",63.0,,provided,India AQI Bulletins,1
2015-08-26,Bengaluru,India,"Bengaluru, India",135.0,,provided,India AQI Bulletins,1
2015-08-26,Delhi,India,"Delhi, India",190.0,,provided,India AQI Bulletins,1
2015-08-26,Mumbai,India,"Mumbai, India",74.0,,provided,India AQI Bulletins,1
2015-08-27,Bengaluru,India,"Bengaluru, India",35.0,,provided,India AQI Bulletins,1
2015-08-27,Delhi,India,"Delhi, India",173.0,,provided,India AQI Bulletins,1
2015-08-27,Mumbai,India,"Mumbai, India",64.0,,provided,India AQI Bulletins,1
2015-08-29,Delhi,India,"Delhi, India",212.0,,provided,India AQI Bulletins,1
2015-08-29,Mumbai,India,"Mumbai, India",67.0,,provided,India AQI Bulletins,1
