value,flagInfo,parameter,period,coordinates,summary,coverage
17.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-04-17T22:00:00Z', 'local': '2021-04-18T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-18T22:00:00Z', 'local': '2021-04-19T00:00:00+02:00'}}",,"{'min': 17.110000610351562, 'q02': 17.127199172973633, 'q25': 17.325000762939453, 'median': 17.540000915527344, 'q75': 17.7549991607666, 'q98': 17.952800750732422, 'max': 17.969999313354492, 'avg': 17.540000915527344, 'sd': 0.6081118583679199}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 2, 'observedInterval': '02:00:00', 'percentComplete': 8.0, 'percentCoverage': 8.0, 'datetimeFrom': {'utc': '2021-04-18T00:00:00Z', 'local': '2021-04-18T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-18T01:00:00Z', 'local': '2021-04-18T03:00:00+02:00'}}"
16.7,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-04-18T22:00:00Z', 'local': '2021-04-19T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-19T22:00:00Z', 'local': '2021-04-20T00:00:00+02:00'}}",,"{'min': 16.65999984741211, 'q02': 16.662200927734375, 'q25': 16.6875, 'median': 16.71500015258789, 'q75': 16.74250030517578, 'q98': 16.767799377441406, 'max': 16.770000457763672, 'avg': 16.71500015258789, 'sd': 0.07778174430131912}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 2, 'observedInterval': '02:00:00', 'percentComplete': 8.0, 'percentCoverage': 8.0, 'datetimeFrom': {'utc': '2021-04-19T00:00:00Z', 'local': '2021-04-19T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-19T01:00:00Z', 'local': '2021-04-19T03:00:00+02:00'}}"
11.2,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-04-19T22:00:00Z', 'local': '2021-04-20T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-20T22:00:00Z', 'local': '2021-04-21T00:00:00+02:00'}}",,"{'min': 10.649999618530273, 'q02': 10.67199993133545, 'q25': 10.925000190734863, 'median': 11.199999809265137, 'q75': 11.414999961853027, 'q98': 11.612799644470215, 'max': 11.630000114440918, 'avg': 11.15999984741211, 'sd': 0.49122297763824463}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 3, 'observedInterval': '03:00:00', 'percentComplete': 13.0, 'percentCoverage': 13.0, 'datetimeFrom': {'utc': '2021-04-20T00:00:00Z', 'local': '2021-04-20T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-20T02:00:00Z', 'local': '2021-04-20T04:00:00+02:00'}}"
7.84,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-04-21T22:00:00Z', 'local': '2021-04-22T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-22T22:00:00Z', 'local': '2021-04-23T00:00:00+02:00'}}",,"{'min': 7.840000152587891, 'q02': 7.840000152587891, 'q25': 7.840000152587891, 'median': 7.840000152587891, 'q75': 7.840000152587891, 'q98': 7.840000152587891, 'max': 7.840000152587891, 'avg': 7.840000152587891, 'sd': None}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 4.0, 'percentCoverage': 4.0, 'datetimeFrom': {'utc': '2021-04-22T00:00:00Z', 'local': '2021-04-22T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-22T00:00:00Z', 'local': '2021-04-22T02:00:00+02:00'}}"
8.9,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-04-22T22:00:00Z', 'local': '2021-04-23T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-23T22:00:00Z', 'local': '2021-04-24T00:00:00+02:00'}}",,"{'min': 8.520000457763672, 'q02': 8.534799575805664, 'q25': 8.704999923706055, 'median': 8.890000343322754, 'q75': 9.09000015258789, 'q98': 9.27400016784668, 'max': 9.289999961853027, 'avg': 8.899999618530273, 'sd': 0.3850973844528198}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 3, 'observedInterval': '03:00:00', 'percentComplete': 13.0, 'percentCoverage': 13.0, 'datetimeFrom': {'utc': '2021-04-23T00:00:00Z', 'local': '2021-04-23T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-23T02:00:00Z', 'local': '2021-04-23T04:00:00+02:00'}}"
7.53,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-04-23T22:00:00Z', 'local': '2021-04-24T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-24T22:00:00Z', 'local': '2021-04-25T00:00:00+02:00'}}",,"{'min': 6.809999942779541, 'q02': 6.8256001472473145, 'q25': 7.005000114440918, 'median': 7.199999809265137, 'q75': 7.889999866485596, 'q98': 8.524800300598145, 'max': 8.579999923706055, 'avg': 7.53000020980835, 'sd': 0.9300000071525574}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 3, 'observedInterval': '03:00:00', 'percentComplete': 13.0, 'percentCoverage': 13.0, 'datetimeFrom': {'utc': '2021-04-24T00:00:00Z', 'local': '2021-04-24T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-24T02:00:00Z', 'local': '2021-04-24T04:00:00+02:00'}}"
13.4,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-04-27T22:00:00Z', 'local': '2021-04-28T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-28T22:00:00Z', 'local': '2021-04-29T00:00:00+02:00'}}",,"{'min': 13.420000076293945, 'q02': 13.420000076293945, 'q25': 13.420000076293945, 'median': 13.420000076293945, 'q75': 13.420000076293945, 'q98': 13.420000076293945, 'max': 13.420000076293945, 'avg': 13.420000076293945, 'sd': None}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 4.0, 'percentCoverage': 4.0, 'datetimeFrom': {'utc': '2021-04-28T00:00:00Z', 'local': '2021-04-28T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-28T00:00:00Z', 'local': '2021-04-28T02:00:00+02:00'}}"
24.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-04-28T22:00:00Z', 'local': '2021-04-29T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-29T22:00:00Z', 'local': '2021-04-30T00:00:00+02:00'}}",,"{'min': 24.260000228881836, 'q02': 24.268800735473633, 'q25': 24.3700008392334, 'median': 24.479999542236328, 'q75': 24.59000015258789, 'q98': 24.691200256347656, 'max': 24.700000762939453, 'avg': 24.479999542236328, 'sd': 0.3111269772052765}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 2, 'observedInterval': '02:00:00', 'percentComplete': 8.0, 'percentCoverage': 8.0, 'datetimeFrom': {'utc': '2021-04-29T00:00:00Z', 'local': '2021-04-29T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-29T01:00:00Z', 'local': '2021-04-29T03:00:00+02:00'}}"
18.2,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-04-29T22:00:00Z', 'local': '2021-04-30T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-30T22:00:00Z', 'local': '2021-05-01T00:00:00+02:00'}}",,"{'min': 16.149999618530273, 'q02': 16.15999984741211, 'q25': 16.542499542236328, 'median': 17.90999984741211, 'q75': 18.415000915527344, 'q98': 22.163999557495117, 'max': 22.579999923706055, 'avg': 18.203332901000977, 'sd': 2.3616151809692383}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 6, 'observedInterval': '06:00:00', 'percentComplete': 25.0, 'percentCoverage': 25.0, 'datetimeFrom': {'utc': '2021-04-30T00:00:00Z', 'local': '2021-04-30T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-04-30T05:00:00Z', 'local': '2021-04-30T07:00:00+02:00'}}"
13.4,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2021-04-30T22:00:00Z', 'local': '2021-05-01T00:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-01T22:00:00Z', 'local': '2021-05-02T00:00:00+02:00'}}",,"{'min': 13.390000343322754, 'q02': 13.390000343322754, 'q25': 13.390000343322754, 'median': 13.390000343322754, 'q75': 13.390000343322754, 'q98': 13.390000343322754, 'max': 13.390000343322754, 'avg': 13.390000343322754, 'sd': None}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 4.0, 'percentCoverage': 4.0, 'datetimeFrom': {'utc': '2021-05-01T00:00:00Z', 'local': '2021-05-01T02:00:00+02:00'}, 'datetimeTo': {'utc': '2021-05-01T00:00:00Z', 'local': '2021-05-01T02:00:00+02:00'}}"
