value,flagInfo,parameter,period,coordinates,summary,coverage
52.3,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-06-30T03:00:00Z', 'local': '2017-06-30T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-01T03:00:00Z', 'local': '2017-07-01T00:00:00-03:00'}}",,"{'min': 42.0, 'q02': 42.31999969482422, 'q25': 46.0, 'median': 50.0, 'q75': 57.5, 'q98': 64.4000015258789, 'max': 65.0, 'avg': 52.33333206176758, 'sd': 11.676186561584473}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 3, 'observedInterval': '03:00:00', 'percentComplete': 13.0, 'percentCoverage': 13.0, 'datetimeFrom': {'utc': '2017-07-01T00:00:00Z', 'local': '2017-06-30T21:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-01T02:00:00Z', 'local': '2017-06-30T23:00:00-03:00'}}"
15.3,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-01T03:00:00Z', 'local': '2017-07-01T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-02T03:00:00Z', 'local': '2017-07-02T00:00:00-03:00'}}",,"{'min': 0.0, 'q02': 0.4399999976158142, 'q25': 6.0, 'median': 8.0, 'q75': 12.5, 'q98': 57.2400016784668, 'max': 59.0, 'avg': 15.34782600402832, 'sd': 18.287126541137695}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-01T04:00:00Z', 'local': '2017-07-01T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-02T02:00:00Z', 'local': '2017-07-01T23:00:00-03:00'}}"
3.7,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-02T03:00:00Z', 'local': '2017-07-02T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-03T03:00:00Z', 'local': '2017-07-03T00:00:00-03:00'}}",,"{'min': 0.0, 'q02': 0.4399999976158142, 'q25': 2.0, 'median': 4.0, 'q75': 5.0, 'q98': 8.5600004196167, 'max': 9.0, 'avg': 3.6956522464752197, 'sd': 2.224548578262329}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-02T04:00:00Z', 'local': '2017-07-02T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-03T02:00:00Z', 'local': '2017-07-02T23:00:00-03:00'}}"
3.78,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-03T03:00:00Z', 'local': '2017-07-03T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-04T03:00:00Z', 'local': '2017-07-04T00:00:00-03:00'}}",,"{'min': 0.0, 'q02': 0.0, 'q25': 1.0, 'median': 3.0, 'q75': 5.5, 'q98': 10.119999885559082, 'max': 11.0, 'avg': 3.7826087474823, 'sd': 3.1616525650024414}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-03T04:00:00Z', 'local': '2017-07-03T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-04T02:00:00Z', 'local': '2017-07-03T23:00:00-03:00'}}"
10.3,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-04T03:00:00Z', 'local': '2017-07-04T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-05T03:00:00Z', 'local': '2017-07-05T00:00:00-03:00'}}",,"{'min': 0.0, 'q02': 0.0, 'q25': 0.0, 'median': 2.0, 'q75': 13.0, 'q98': 47.08000183105469, 'max': 51.0, 'avg': 10.333333015441895, 'sd': 16.391054153442383}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 15, 'observedInterval': '15:00:00', 'percentComplete': 63.0, 'percentCoverage': 63.0, 'datetimeFrom': {'utc': '2017-07-04T04:00:00Z', 'local': '2017-07-04T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-04T18:00:00Z', 'local': '2017-07-04T15:00:00-03:00'}}"
15.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-05T03:00:00Z', 'local': '2017-07-05T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-06T03:00:00Z', 'local': '2017-07-06T00:00:00-03:00'}}",,"{'min': 0.0, 'q02': 0.0, 'q25': 0.0, 'median': 3.0, 'q75': 28.0, 'q98': 64.0, 'max': 75.0, 'avg': 15.52173900604248, 'sd': 20.52021026611328}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-05T04:00:00Z', 'local': '2017-07-05T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-06T02:00:00Z', 'local': '2017-07-05T23:00:00-03:00'}}"
15.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-06T03:00:00Z', 'local': '2017-07-06T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-07T03:00:00Z', 'local': '2017-07-07T00:00:00-03:00'}}",,"{'min': 0.0, 'q02': 0.0, 'q25': 2.5, 'median': 13.0, 'q75': 29.0, 'q98': 36.2400016784668, 'max': 38.0, 'avg': 15.0, 'sd': 13.671469688415527}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-06T04:00:00Z', 'local': '2017-07-06T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-07T02:00:00Z', 'local': '2017-07-06T23:00:00-03:00'}}"
17.4,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-07T03:00:00Z', 'local': '2017-07-07T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-08T03:00:00Z', 'local': '2017-07-08T00:00:00-03:00'}}",,"{'min': 0.0, 'q02': 0.0, 'q25': 5.5, 'median': 21.0, 'q75': 26.0, 'q98': 36.68000030517578, 'max': 38.0, 'avg': 17.39130401611328, 'sd': 12.320489883422852}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-07T04:00:00Z', 'local': '2017-07-07T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-08T02:00:00Z', 'local': '2017-07-07T23:00:00-03:00'}}"
17.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-08T03:00:00Z', 'local': '2017-07-08T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-09T03:00:00Z', 'local': '2017-07-09T00:00:00-03:00'}}",,"{'min': 5.0, 'q02': 5.440000057220459, 'q25': 7.0, 'median': 12.0, 'q75': 28.0, 'q98': 35.560001373291016, 'max': 36.0, 'avg': 17.478260040283203, 'sd': 11.820127487182617}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-08T04:00:00Z', 'local': '2017-07-08T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-09T02:00:00Z', 'local': '2017-07-08T23:00:00-03:00'}}"
16.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2017-07-09T03:00:00Z', 'local': '2017-07-09T00:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-10T03:00:00Z', 'local': '2017-07-10T00:00:00-03:00'}}",,"{'min': 1.0, 'q02': 1.440000057220459, 'q25': 6.5, 'median': 13.0, 'q75': 24.0, 'q98': 37.2400016784668, 'max': 39.0, 'avg': 16.521739959716797, 'sd': 11.870014190673828}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 23, 'observedInterval': '23:00:00', 'percentComplete': 96.0, 'percentCoverage': 96.0, 'datetimeFrom': {'utc': '2017-07-09T04:00:00Z', 'local': '2017-07-09T01:00:00-03:00'}, 'datetimeTo': {'utc': '2017-07-10T02:00:00Z', 'local': '2017-07-09T23:00:00-03:00'}}"
