value,flagInfo,parameter,period,coordinates,summary,coverage
8.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-11T15:00:00Z', 'local': '2020-10-12T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-12T15:00:00Z', 'local': '2020-10-13T00:00:00+09:00'}}",,"{'min': 4.300000190734863, 'q02': 4.317999839782715, 'q25': 5.0, 'median': 5.949999809265137, 'q75': 7.974999904632568, 'q98': 21.125999450683594, 'max': 21.899999618530273, 'avg': 8.5, 'sd': 6.135506629943848}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 10, 'observedInterval': '10:00:00', 'percentComplete': 42.0, 'percentCoverage': 42.0, 'datetimeFrom': {'utc': '2020-10-12T06:00:00Z', 'local': '2020-10-12T15:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-12T15:00:00Z', 'local': '2020-10-13T00:00:00+09:00'}}"
6.46,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-12T15:00:00Z', 'local': '2020-10-13T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-13T15:00:00Z', 'local': '2020-10-14T00:00:00+09:00'}}",,"{'min': 3.799999952316284, 'q02': 3.799999952316284, 'q25': 5.849999904632568, 'median': 6.349999904632568, 'q75': 6.900000095367432, 'q98': 9.699999809265137, 'max': 9.699999809265137, 'avg': 6.462500095367432, 'sd': 1.5457690954208374}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 24, 'observedInterval': '24:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2020-10-12T16:00:00Z', 'local': '2020-10-13T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-13T15:00:00Z', 'local': '2020-10-14T00:00:00+09:00'}}"
9.63,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-13T15:00:00Z', 'local': '2020-10-14T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-14T15:00:00Z', 'local': '2020-10-15T00:00:00+09:00'}}",,"{'min': 3.5999999046325684, 'q02': 3.6459999084472656, 'q25': 6.550000190734863, 'median': 8.600000381469727, 'q75': 12.625, 'q98': 20.73200035095215, 'max': 23.399999618530273, 'avg': 9.625, 'sd': 4.765569686889648}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 24, 'observedInterval': '24:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2020-10-13T16:00:00Z', 'local': '2020-10-14T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-14T15:00:00Z', 'local': '2020-10-15T00:00:00+09:00'}}"
6.47,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-14T15:00:00Z', 'local': '2020-10-15T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-15T15:00:00Z', 'local': '2020-10-16T00:00:00+09:00'}}",,"{'min': 4.400000095367432, 'q02': 4.400000095367432, 'q25': 5.550000190734863, 'median': 6.599999904632568, 'q75': 7.449999809265137, 'q98': 8.053999900817871, 'max': 8.100000381469727, 'avg': 6.474999904632568, 'sd': 1.1862436532974243}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 24, 'observedInterval': '24:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2020-10-14T16:00:00Z', 'local': '2020-10-15T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-15T15:00:00Z', 'local': '2020-10-16T00:00:00+09:00'}}"
12.3,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-15T15:00:00Z', 'local': '2020-10-16T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-16T15:00:00Z', 'local': '2020-10-17T00:00:00+09:00'}}",,"{'min': 9.5, 'q02': 9.729999542236328, 'q25': 11.274999618530273, 'median': 11.949999809265137, 'q75': 13.100000381469727, 'q98': 16.148000717163086, 'max': 16.700000762939453, 'avg': 12.341666221618652, 'sd': 1.7651004791259766}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 24, 'observedInterval': '24:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2020-10-15T16:00:00Z', 'local': '2020-10-16T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-16T15:00:00Z', 'local': '2020-10-17T00:00:00+09:00'}}"
9.91,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-16T15:00:00Z', 'local': '2020-10-17T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-17T15:00:00Z', 'local': '2020-10-18T00:00:00+09:00'}}",,"{'min': 2.799999952316284, 'q02': 2.9200000762939453, 'q25': 5.599999904632568, 'median': 10.0, 'q75': 13.800000190734863, 'q98': 21.079999923706055, 'max': 22.600000381469727, 'avg': 9.914285659790039, 'sd': 5.3151936531066895}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 21, 'observedInterval': '21:00:00', 'percentComplete': 88.0, 'percentCoverage': 88.0, 'datetimeFrom': {'utc': '2020-10-16T16:00:00Z', 'local': '2020-10-17T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-17T15:00:00Z', 'local': '2020-10-18T00:00:00+09:00'}}"
11.2,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-17T15:00:00Z', 'local': '2020-10-18T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-18T15:00:00Z', 'local': '2020-10-19T00:00:00+09:00'}}",,"{'min': 6.099999904632568, 'q02': 6.283999919891357, 'q25': 8.699999809265137, 'median': 10.5, 'q75': 12.75, 'q98': 19.658000946044922, 'max': 20.899999618530273, 'avg': 11.241666793823242, 'sd': 3.7259275913238525}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 24, 'observedInterval': '24:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2020-10-17T16:00:00Z', 'local': '2020-10-18T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-18T15:00:00Z', 'local': '2020-10-19T00:00:00+09:00'}}"
33.7,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-18T15:00:00Z', 'local': '2020-10-19T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-19T15:00:00Z', 'local': '2020-10-20T00:00:00+09:00'}}",,"{'min': 17.899999618530273, 'q02': 18.860000610351562, 'q25': 21.399999618530273, 'median': 28.399999618530273, 'q75': 40.400001525878906, 'q98': 61.08000183105469, 'max': 63.0, 'avg': 33.6588249206543, 'sd': 14.297030448913574}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 17, 'observedInterval': '17:00:00', 'percentComplete': 71.0, 'percentCoverage': 71.0, 'datetimeFrom': {'utc': '2020-10-18T16:00:00Z', 'local': '2020-10-19T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-19T15:00:00Z', 'local': '2020-10-20T00:00:00+09:00'}}"
24.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-19T15:00:00Z', 'local': '2020-10-20T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-20T15:00:00Z', 'local': '2020-10-21T00:00:00+09:00'}}",,"{'min': 16.700000762939453, 'q02': 16.860000610351562, 'q25': 19.0, 'median': 21.5, 'q75': 22.5, 'q98': 47.04800033569336, 'max': 49.0, 'avg': 23.98235321044922, 'sd': 9.010010719299316}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 17, 'observedInterval': '17:00:00', 'percentComplete': 71.0, 'percentCoverage': 71.0, 'datetimeFrom': {'utc': '2020-10-19T23:00:00Z', 'local': '2020-10-20T08:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-20T15:00:00Z', 'local': '2020-10-21T00:00:00+09:00'}}"
19.4,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-20T15:00:00Z', 'local': '2020-10-21T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-21T15:00:00Z', 'local': '2020-10-22T00:00:00+09:00'}}",,"{'min': 14.899999618530273, 'q02': 14.899999618530273, 'q25': 15.425000190734863, 'median': 17.850000381469727, 'q75': 22.325000762939453, 'q98': 28.56999969482422, 'max': 28.799999237060547, 'avg': 19.40416717529297, 'sd': 4.541258335113525}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 24, 'observedInterval': '24:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2020-10-20T16:00:00Z', 'local': '2020-10-21T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-21T15:00:00Z', 'local': '2020-10-22T00:00:00+09:00'}}"
22.3,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-21T15:00:00Z', 'local': '2020-10-22T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-22T15:00:00Z', 'local': '2020-10-23T00:00:00+09:00'}}",,"{'min': 4.599999904632568, 'q02': 4.645999908447266, 'q25': 5.025000095367432, 'median': 29.899999618530273, 'q75': 31.174999237060547, 'q98': 46.91999816894531, 'max': 48.29999923706055, 'avg': 22.27916717529297, 'sd': 15.331070899963379}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 24, 'observedInterval': '24:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2020-10-21T16:00:00Z', 'local': '2020-10-22T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-22T15:00:00Z', 'local': '2020-10-23T00:00:00+09:00'}}"
5.74,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2020-10-22T15:00:00Z', 'local': '2020-10-23T00:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-23T15:00:00Z', 'local': '2020-10-24T00:00:00+09:00'}}",,"{'min': 3.0, 'q02': 3.0, 'q25': 5.074999809265137, 'median': 5.949999809265137, 'q75': 6.449999809265137, 'q98': 7.886000156402588, 'max': 8.300000190734863, 'avg': 5.737500190734863, 'sd': 1.3157284259796143}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 24, 'observedInterval': '24:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2020-10-22T16:00:00Z', 'local': '2020-10-23T01:00:00+09:00'}, 'datetimeTo': {'utc': '2020-10-23T15:00:00Z', 'local': '2020-10-24T00:00:00+09:00'}}"
