value,flagInfo,parameter,period,coordinates,summary,coverage
18.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-07-14T15:00:00Z', 'local': '2023-07-15T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-07-15T15:00:00Z', 'local': '2023-07-16T00:00:00+09:00'}}",,"{'min': 18.0, 'q02': 18.0, 'q25': 18.0, 'median': 18.0, 'q75': 18.0, 'q98': 18.0, 'max': 18.0, 'avg': 18.0, 'sd': None}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 4.0, 'percentCoverage': 4.0, 'datetimeFrom': {'utc': '2023-07-14T17:00:00Z', 'local': '2023-07-15T02:00:00+09:00'}, 'datetimeTo': {'utc': '2023-07-14T17:00:00Z', 'local': '2023-07-15T02:00:00+09:00'}}"
8.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-07-21T15:00:00Z', 'local': '2023-07-22T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-07-22T15:00:00Z', 'local': '2023-07-23T00:00:00+09:00'}}",,"{'min': 8.0, 'q02': 8.0, 'q25': 8.0, 'median': 8.0, 'q75': 8.0, 'q98': 8.0, 'max': 8.0, 'avg': 8.0, 'sd': 0.0}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 4, 'observedInterval': '04:00:00', 'percentComplete': 17.0, 'percentCoverage': 17.0, 'datetimeFrom': {'utc': '2023-07-21T20:00:00Z', 'local': '2023-07-22T05:00:00+09:00'}, 'datetimeTo': {'utc': '2023-07-21T23:00:00Z', 'local': '2023-07-22T08:00:00+09:00'}}"
8.36,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-07-27T15:00:00Z', 'local': '2023-07-28T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-07-28T15:00:00Z', 'local': '2023-07-29T00:00:00+09:00'}}",,"{'min': 4.0, 'q02': 4.0, 'q25': 6.0, 'median': 7.0, 'q75': 9.5, 'q98': 17.579999923706055, 'max': 18.0, 'avg': 8.363636016845703, 'sd': 4.282249450683594}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-07-27T16:00:00Z', 'local': '2023-07-28T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-07-28T13:00:00Z', 'local': '2023-07-28T22:00:00+09:00'}}"
7.55,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-07-28T15:00:00Z', 'local': '2023-07-29T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-07-29T15:00:00Z', 'local': '2023-07-30T00:00:00+09:00'}}",,"{'min': 4.0, 'q02': 4.0, 'q25': 5.0, 'median': 6.5, 'q75': 9.75, 'q98': 14.15999984741211, 'max': 15.0, 'avg': 7.545454502105713, 'sd': 3.2326793670654297}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-07-28T16:00:00Z', 'local': '2023-07-29T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-07-29T13:00:00Z', 'local': '2023-07-29T22:00:00+09:00'}}"
8.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-07-29T15:00:00Z', 'local': '2023-07-30T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-07-30T15:00:00Z', 'local': '2023-07-31T00:00:00+09:00'}}",,"{'min': 4.0, 'q02': 4.0, 'q25': 5.0, 'median': 6.0, 'q75': 10.0, 'q98': 21.540000915527344, 'max': 27.0, 'avg': 8.5, 'sd': 5.253117084503174}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-07-29T16:00:00Z', 'local': '2023-07-30T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-07-30T13:00:00Z', 'local': '2023-07-30T22:00:00+09:00'}}"
5.68,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-07-30T15:00:00Z', 'local': '2023-07-31T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-07-31T15:00:00Z', 'local': '2023-08-01T00:00:00+09:00'}}",,"{'min': 3.0, 'q02': 3.0, 'q25': 4.0, 'median': 6.0, 'q75': 6.75, 'q98': 10.579999923706055, 'max': 11.0, 'avg': 5.681818008422852, 'sd': 2.2758853435516357}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-07-30T16:00:00Z', 'local': '2023-07-31T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-07-31T13:00:00Z', 'local': '2023-07-31T22:00:00+09:00'}}"
6.32,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-07-31T15:00:00Z', 'local': '2023-08-01T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-01T15:00:00Z', 'local': '2023-08-02T00:00:00+09:00'}}",,"{'min': 1.0, 'q02': 2.259999990463257, 'q25': 5.0, 'median': 6.0, 'q75': 8.0, 'q98': 10.739999771118164, 'max': 12.0, 'avg': 6.318181991577148, 'sd': 2.2336466312408447}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-07-31T16:00:00Z', 'local': '2023-08-01T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-01T13:00:00Z', 'local': '2023-08-01T22:00:00+09:00'}}"
5.64,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-08-01T15:00:00Z', 'local': '2023-08-02T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-02T15:00:00Z', 'local': '2023-08-03T00:00:00+09:00'}}",,"{'min': 2.0, 'q02': 2.8399999141693115, 'q25': 5.0, 'median': 5.5, 'q75': 7.0, 'q98': 8.579999923706055, 'max': 9.0, 'avg': 5.636363506317139, 'sd': 1.5900120735168457}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-08-01T16:00:00Z', 'local': '2023-08-02T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-02T13:00:00Z', 'local': '2023-08-02T22:00:00+09:00'}}"
5.64,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-08-02T15:00:00Z', 'local': '2023-08-03T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-03T15:00:00Z', 'local': '2023-08-04T00:00:00+09:00'}}",,"{'min': 2.0, 'q02': 2.4200000762939453, 'q25': 3.25, 'median': 4.5, 'q75': 7.0, 'q98': 12.739999771118164, 'max': 14.0, 'avg': 5.636363506317139, 'sd': 3.047957181930542}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 22, 'observedInterval': '22:00:00', 'percentComplete': 92.0, 'percentCoverage': 92.0, 'datetimeFrom': {'utc': '2023-08-02T16:00:00Z', 'local': '2023-08-03T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-03T13:00:00Z', 'local': '2023-08-03T22:00:00+09:00'}}"
10.1,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': '1day', 'interval': '24:00:00', 'datetimeFrom': {'utc': '2023-08-03T15:00:00Z', 'local': '2023-08-04T00:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-04T15:00:00Z', 'local': '2023-08-05T00:00:00+09:00'}}",,"{'min': 5.0, 'q02': 5.400000095367432, 'q25': 8.0, 'median': 9.0, 'q75': 14.0, 'q98': 16.0, 'max': 16.0, 'avg': 10.095237731933594, 'sd': 3.4914863109588623}","{'expectedCount': 24, 'expectedInterval': '24:00:00', 'observedCount': 21, 'observedInterval': '21:00:00', 'percentComplete': 88.0, 'percentCoverage': 88.0, 'datetimeFrom': {'utc': '2023-08-03T16:00:00Z', 'local': '2023-08-04T01:00:00+09:00'}, 'datetimeTo': {'utc': '2023-08-04T13:00:00Z', 'local': '2023-08-04T22:00:00+09:00'}}"
