date,city,pm25
2017-06-30,Sao Paulo,42.83333206176758
2017-07-01,Sao Paulo,15.8695650100708
2017-07-02,Sao Paulo,4.28260862827301
2017-07-03,Sao Paulo,4.4565218687057495
2017-07-04,Sao Paulo,8.53333306312561
2017-07-05,Sao Paulo,13.9347825050354
2017-07-06,Sao Paulo,15.913043022155762
2017-07-07,Sao Paulo,16.809288024902344
2017-07-08,Sao Paulo,15.652173519134521
2017-07-09,Sao Paulo,15.956521987915039
2017-07-10,Sao Paulo,18.877174377441406
2017-07-11,Sao Paulo,32.173912048339844
2017-07-12,Sao Paulo,27.565217971801758
2017-07-13,Sao Paulo,27.782608032226562
2017-07-14,Sao Paulo,27.782608032226562
2017-07-15,Sao Paulo,18.60869598388672
2017-07-16,Sao Paulo,15.52173900604248
2017-07-17,Sao Paulo,14.913043022155762
2017-07-18,Sao Paulo,0.1304347813129425
2017-07-19,Sao Paulo,18.913043975830078
2017-07-20,Sao Paulo,20.77777862548828
2017-08-10,Sao Paulo,5.2166666984558105
2017-08-11,Sao Paulo,16.35454559326172
2017-08-12,Sao Paulo,16.31677047411601
2017-08-13,Sao Paulo,27.052631378173828
2017-08-14,Sao Paulo,21.78524398803711
2017-08-15,Sao Paulo,9.777777671813965
2017-08-16,Sao Paulo,18.862364451090496
2017-08-17,Sao Paulo,9.798147996266684
2017-08-18,Sao Paulo,19.5238094329834
2017-08-19,Sao Paulo,14.290740648905436
2017-08-20,Sao Paulo,11.591227849324545
2017-08-21,Sao Paulo,8.166666666666666
2017-08-22,Sao Paulo,13.13095219930013
2017-08-23,Sao Paulo,23.954545338948567
2017-08-24,Sao Paulo,21.00948651631673
2017-08-25,Sao Paulo,26.599999745686848
2017-08-26,Sao Paulo,31.59783999125163
2017-08-27,Sao Paulo,30.31968816121419
2017-08-28,Sao Paulo,34.312962214152016
2017-08-29,Sao Paulo,42.25396855672201
2017-08-30,Sao Paulo,44.67602284749349
2017-08-31,Sao Paulo,9.727272510528564
2017-09-01,Sao Paulo,13.681241035461426
2017-09-02,Sao Paulo,19.30434735616048
2017-09-03,Sao Paulo,21.58181889851888
2017-09-04,Sao Paulo,27.063241322835285
2017-09-05,Sao Paulo,34.80368868509928
2017-09-06,Sao Paulo,32.88629150390625
2017-09-07,Sao Paulo,31.454545338948567
2017-09-08,Sao Paulo,40.06403605143229
2017-09-09,Sao Paulo,37.11111068725586
2017-09-10,Sao Paulo,30.584416071573894
2017-09-11,Sao Paulo,30.700159072875977
2017-09-12,Sao Paulo,31.51111094156901
2017-09-13,Sao Paulo,37.464646657307945
2017-09-14,Sao Paulo,38.85952377319336
2017-09-15,Sao Paulo,43.42028935750326
2017-09-16,Sao Paulo,33.30302937825521
2017-09-17,Sao Paulo,36.54444376627604
2017-09-18,Sao Paulo,27.2480525970459
2017-09-19,Sao Paulo,41.1561393737793
2017-09-20,Sao Paulo,29.0
2017-09-21,Sao Paulo,38.704545974731445
2017-09-22,Sao Paulo,29.128947257995605
2017-09-23,Sao Paulo,38.940789540608726
2017-09-24,Sao Paulo,18.050264676411945
2017-09-25,Sao Paulo,26.30434799194336
2017-09-26,Sao Paulo,27.51629130045573
2017-09-27,Sao Paulo,38.06984074910482
2017-09-28,Sao Paulo,37.961404164632164
2017-09-29,Sao Paulo,15.86956532796224
2017-09-30,Sao Paulo,14.115942319234213
2017-10-01,Sao Paulo,15.424242655436197
2017-10-02,Sao Paulo,13.144927660624186
2017-10-03,Sao Paulo,10.110671997070312
2017-10-04,Sao Paulo,13.5
2017-10-05,Sao Paulo,19.909090995788574
2017-10-06,Sao Paulo,22.30434799194336
2017-10-07,Sao Paulo,11.049999713897705
2017-10-08,Sao Paulo,16.8695650100708
2017-10-09,Sao Paulo,18.94071165720622
2017-10-10,Sao Paulo,25.6521733601888
2017-10-11,Sao Paulo,30.24728266398112
2017-10-12,Sao Paulo,15.615942001342773
2017-10-13,Sao Paulo,21.965579986572266
2017-10-14,Sao Paulo,9.09375
2017-10-15,Sao Paulo,5.909090995788574
2017-10-16,Sao Paulo,8.863636493682861
2017-10-17,Sao Paulo,22.7380952835083
2017-10-18,Sao Paulo,20.145298957824707
2017-10-19,Sao Paulo,22.63636302947998
2017-10-20,Sao Paulo,10.5
2017-10-21,Sao Paulo,22.06521701812744
2017-10-22,Sao Paulo,19.1304349899292
2017-10-23,Sao Paulo,8.956521987915039
2017-10-24,Sao Paulo,13.0
2017-10-25,Sao Paulo,20.5
2017-10-26,Sao Paulo,10.454545497894287
2017-10-27,Sao Paulo,24.800000190734863
2021-01-12,Sao Paulo,13.833333492279053
2021-01-13,Sao Paulo,12.0
2021-01-14,Sao Paulo,11.854166984558105
2021-01-15,Sao Paulo,14.520833492279053
2021-01-16,Sao Paulo,9.479166746139526
2021-01-17,Sao Paulo,5.77445650100708
2021-01-18,Sao Paulo,8.166666507720947
2021-01-19,Sao Paulo,18.541666984558105
2021-01-20,Sao Paulo,15.037037213643393
2021-01-21,Sao Paulo,10.041666666666666
2021-01-22,Sao Paulo,17.384090741475422
2021-01-23,Sao Paulo,15.347222328186035
2021-01-24,Sao Paulo,16.800724665323894
2021-01-25,Sao Paulo,12.99999968210856
2021-01-26,Sao Paulo,14.673202832539877
2021-01-27,Sao Paulo,15.183333396911621
2021-01-28,Sao Paulo,11.861111323038736
2021-01-29,Sao Paulo,20.86111068725586
2021-01-30,Sao Paulo,21.097222010294598
2021-01-31,Sao Paulo,18.40109872817993
2021-02-01,Sao Paulo,14.166666746139526
2021-02-02,Sao Paulo,16.625
2021-02-03,Sao Paulo,21.947916507720947
2021-02-04,Sao Paulo,17.931469202041626
2021-02-05,Sao Paulo,7.771739363670349
2021-02-06,Sao Paulo,10.53693175315857
2021-02-07,Sao Paulo,8.042613744735718
2021-02-08,Sao Paulo,8.367559671401978
2021-02-09,Sao Paulo,9.200000047683716
2021-02-10,Sao Paulo,10.427083492279053
2021-02-11,Sao Paulo,12.666666507720947
2021-02-12,Sao Paulo,12.932765245437622
